datevec,Sea,Temp,IceSAt,IceSAtmas1,IceSAtmas2
1880m1,-181.4,-.46,12187714,12097447,12099526
1880m2,-169.5,-.31,12097447,12099526,11785686
1880m3,-162.7,-.29,12099526,11785686,11750795
1880m4,-156.6,-.4,11785686,11750795,11595924
1880m5,-157.1,-.35,11750795,11595924,11823237
1880m6,-158,-.42,11595924,11823237,12096857
1880m7,-158,-.28,11823237,12096857,11980516
1880m8,-160.2,-.17,12096857,11980516,12126294
1880m9,-157.3,-.34,11980516,12126294,12153416
1880m10,-148.7,-.28,12126294,12153416,12152625
1880m11,-142.9,-.25,12153416,12152625,12169993
1880m12,-133.1,-.28,12152625,12169993,12060451
1881m1,-134.8,-.25,12169993,12060451,12434247
1881m2,-137.6,-.29,12060451,12434247,12688039
1881m3,-143.6,-.05,12434247,12688039,12833606
1881m4,-149.5,-.09,12688039,12833606,12627652
1881m5,-150.6,-.1,12833606,12627652,12730610
1881m6,-152.6,-.34,12627652,12730610,11719867
1881m7,-146.1,-.17,12730610,11719867,11627283
1881m8,-149.8,-.14,11719867,11627283,12118228
1881m9,-154.4,-.28,11627283,12118228,12139815
1881m10,-163.9,-.32,12118228,12139815,12136640
1881m11,-166.3,-.41,12139815,12136640,12141773
1881m12,-168.3,-.33,12136640,12141773,12143861
1882m1,-166.2,-.15,12141773,12143861,12377575
1882m2,-160.4,-.04,12143861,12377575,12059775
1882m3,-157.2,-.13,12377575,12059775,12071604
1882m4,-159,-.33,12059775,12071604,12174027
1882m5,-162.9,-.29,12071604,12174027,12421989
1882m6,-163.6,-.37,12174027,12421989,12512744
1882m7,-165.7,-.31,12421989,12512744,12273677
1882m8,-167.4,-.18,12512744,12273677,12202372
1882m9,-173.3,-.28,12273677,12202372,12114986
1882m10,-179.9,-.41,12202372,12114986,12103621
1882m11,-180.9,-.41,12114986,12103621,12096777
1882m12,-182.9,-.5600000000000001,12103621,12096777,12033641
1883m1,-178.3,-.5,12096777,12033641,11899645
1883m2,-178.4,-.45,12033641,11899645,12048290
1883m3,-170.8,-.22,11899645,12048290,12087171
1883m4,-170.7,-.26,12048290,12087171,12102786
1883m5,-162.4,-.31,12087171,12102786,11806612
1883m6,-162,-.14,12102786,11806612,11841692
1883m7,-159.5,-.14,11806612,11841692,12214317
1883m8,-160.4,-.24,11841692,12214317,12081900
1883m9,-157.7,-.35,12214317,12081900,12084070
1883m10,-156.6,-.37,12081900,12084070,12065024
1883m11,-151.6,-.36,12084070,12065024,12047275
1883m12,-147.5,-.32,12065024,12047275,12005462
1884m1,-140.9,-.3,12047275,12005462,11933164
