Hurvich and Chen (2000) Table I Replication
===========================================

- HC tapered estimator (first differences + complex taper)
- Sample size: n=500
- Bandwidth: m=36
- Replications: 500

|   d | phi |  Our Est. |   HC Est. |     Diff. |  Our Var. |   HC Var. |     Diff. |
|----:|----:|----------:|----------:|----------:|----------:|----------:|----------:|
| 0.0 | 0.0 |    0.0001 |   -0.0013 |    0.0014 |    0.0176 |    0.0186 |   -0.0010 |
| 0.0 | 0.5 |    0.0588 |    0.0574 |    0.0014 |    0.0178 |    0.0188 |   -0.0010 |
| 0.0 | 0.8 |    0.3125 |    0.3116 |    0.0009 |    0.0192 |    0.0198 |   -0.0006 |
| 0.2 | 0.0 |    0.1956 |    0.1994 |   -0.0038 |    0.0176 |    0.0173 |    0.0003 |
| 0.2 | 0.5 |    0.2545 |    0.2580 |   -0.0035 |    0.0178 |    0.0175 |    0.0003 |
| 0.2 | 0.8 |    0.5088 |    0.5112 |   -0.0024 |    0.0193 |    0.0190 |    0.0003 |
| 0.4 | 0.0 |    0.3924 |    0.3964 |   -0.0040 |    0.0176 |    0.0174 |    0.0002 |
| 0.4 | 0.5 |    0.4513 |    0.4551 |   -0.0038 |    0.0178 |    0.0176 |    0.0002 |
| 0.4 | 0.8 |    0.7062 |    0.7091 |   -0.0029 |    0.0194 |    0.0190 |    0.0004 |
| 0.6 | 0.0 |    0.5904 |    0.5949 |   -0.0045 |    0.0175 |    0.0173 |    0.0002 |
| 0.6 | 0.5 |    0.6494 |    0.6533 |   -0.0039 |    0.0178 |    0.0176 |    0.0002 |
| 0.6 | 0.8 |    0.9045 |    0.9079 |   -0.0034 |    0.0194 |    0.0191 |    0.0003 |
| 0.8 | 0.0 |    0.7898 |    0.7945 |   -0.0047 |    0.0174 |    0.0173 |    0.0001 |
| 0.8 | 0.5 |    0.8488 |    0.8535 |   -0.0047 |    0.0176 |    0.0174 |    0.0002 |
| 0.8 | 0.8 |    1.1039 |    1.1079 |   -0.0040 |    0.0192 |    0.0190 |    0.0002 |
| 1.0 | 0.0 |    0.9907 |    0.9895 |    0.0012 |    0.0172 |    0.0187 |   -0.0015 |
| 1.0 | 0.5 |    1.0496 |    1.0488 |    0.0008 |    0.0174 |    0.0187 |   -0.0013 |
| 1.0 | 0.8 |    1.2982 |    1.2999 |   -0.0017 |    0.0159 |    0.0171 |   -0.0012 |
| 1.2 | 0.0 |    1.1927 |    1.1981 |   -0.0054 |    0.0165 |    0.0169 |   -0.0004 |
| 1.2 | 0.5 |    1.2502 |    1.2553 |   -0.0051 |    0.0161 |    0.0164 |   -0.0003 |
| 1.2 | 0.8 |    1.4437 |    1.4453 |   -0.0016 |    0.0054 |    0.0056 |   -0.0002 |
