Hurvich and Chen (2000) Monte Carlo
===================================

Sample size: n=500, Bandwidth: m=36, Replications: 500
Comparing incorrect R LongMemoryTS and our fixed version.

| d   | phi | HC (2000) | Orig. R  | Error  | Fixed R | Error  |
|-----|-----|-----------|----------|--------|---------|--------|
| 0.0 | 0.0 |   -0.0013 |  -0.1515 | -0.150 |  0.0001 |  0.001 |
| 0.0 | 0.5 |    0.0574 |  -0.0930 | -0.150 |  0.0588 |  0.001 |
| 0.0 | 0.8 |    0.3116 |   0.1703 | -0.141 |  0.3125 |  0.001 |
| 0.2 | 0.0 |    0.1994 |   0.0693 | -0.130 |  0.1956 | -0.004 |
| 0.2 | 0.5 |    0.2580 |   0.1279 | -0.130 |  0.2545 | -0.004 |
| 0.2 | 0.8 |    0.5112 |   0.3906 | -0.121 |  0.5088 | -0.002 |
| 0.4 | 0.0 |    0.3964 |   0.2933 | -0.103 |  0.3924 | -0.004 |
| 0.4 | 0.5 |    0.4551 |   0.3517 | -0.103 |  0.4513 | -0.004 |
| 0.4 | 0.8 |    0.7091 |   0.6130 | -0.096 |  0.7061 | -0.003 |
| 0.6 | 0.0 |    0.5949 |   0.5204 | -0.074 |  0.5904 | -0.005 |
| 0.6 | 0.5 |    0.6533 |   0.5784 | -0.075 |  0.6494 | -0.004 |
| 0.6 | 0.8 |    0.9079 |   0.8378 | -0.070 |  0.9045 | -0.003 |
| 0.8 | 0.0 |    0.7945 |   0.7513 | -0.043 |  0.7898 | -0.005 |
| 0.8 | 0.5 |    0.8535 |   0.8087 | -0.045 |  0.8488 | -0.005 |
| 0.8 | 0.8 |    1.1079 |   1.0655 | -0.042 |  1.1039 | -0.004 |
| 1.0 | 0.0 |    0.9895 |   0.9878 | -0.002 |  0.9907 |  0.001 |
| 1.0 | 0.5 |    1.0488 |   1.0443 | -0.005 |  1.0496 |  0.001 |
| 1.0 | 0.8 |    1.2999 |   1.2919 | -0.008 |  1.2982 | -0.002 |
| 1.2 | 0.0 |    1.1981 |   1.2344 |  0.036 |  1.1927 | -0.005 |
| 1.2 | 0.5 |    1.2553 |   1.2870 |  0.032 |  1.2502 | -0.005 |
| 1.2 | 0.8 |    1.4453 |   1.4562 |  0.011 |  1.4436 | -0.002 |
